clause_id	category	requirement	frozen_source	implementation_evidence	independent_validation	observed_value	expected_value	status	blocking	notes
A-01	Authorization continuity	M-FINAL authorizes Family A preregistration only	experiments/motivation/m_final/motivation_completion_gate.json	motivation_completion_gate.json	JSON field inspection	authorizes_family_a_only=true and no runtime authorization	Family A only	PASS	true	Qualification requires a later decision.
A-02	Authorization continuity	The preregistration remains inactive	experiments/fuzzer_v0/family_a/activation_gate.json	activation_gate.json	JSON schema and field inspection	PREREGISTERED_NOT_ACTIVATED	PREREGISTERED_NOT_ACTIVATED	PASS	true	The frozen Gate was not modified.
A-03	Authorization continuity	The original activation review remains a decline	experiments/fuzzer_v0/family_a/activation_review/qualification_activation_decision.json	qualification_activation_decision.json	JSON field inspection	DECLINE_IMPLEMENTATION_NOT_READY	DECLINE_IMPLEMENTATION_NOT_READY	PASS	true	The historical decision remains correct for its commit.
A-04	Authorization continuity	The readiness amendment did not authorize qualification	experiments/fuzzer_v0/family_a/readiness_amendment/amendment.yaml	static_readiness_gate.json	YAML and JSON field inspection	qualification_authorized=false and runtime_authorized=false	false	PASS	true	Self-reported readiness is not approval.
A-05	Authorization continuity	Current formal and accepted attempts are zero	experiments/fuzzer_v0/family_a/activation_review/qualification_attempt_ledger.yaml	attempt_ledger.yaml and rereview ledger	Independent YAML parsing	formal=0 accepted=0 attempts=[]	zero and empty	PASS	true	Static tests are not attempts.
A-06	Authorization continuity	Comparison arms remain unauthorized	experiments/fuzzer_v0/family_a/preregistration.yaml	all decision and ledger assets	Independent cross-file field inspection	all comparison authorization fields=false	false	PASS	true	No comparison runtime was started.
A-07	Authorization continuity	This task started no runtime	experiments/fuzzer_v0/family_a/safety_rules.yaml	rereview_source_lock.yaml	Read-only process and artifact inspection	PX4/Gazebo/ROS launch/DDS flight/scenario all false	false	PASS	true	No qualification or comparison attempt was created.
B-01	Git and identity	The starting HEAD equals fetched origin/main	Repository Git identity	rereview_source_lock.yaml	git rev-parse and rev-list	bae879484abab51e369af13ed46db5762f457242 with 0/0	exact equality and 0/0	PASS	true	Review started on clean main.
B-02	Git and identity	The preregistration commit is on main history	experiments/fuzzer_v0/family_a/source_lock.yaml	Git history	git merge-base --is-ancestor	426f4c7316e973c6a4dab84a202fdb75ea65b7c1 is ancestor	ancestor	PASS	true	Commit resolves exactly.
B-03	Git and identity	The original activation review commit is on main history	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	Git history	git merge-base --is-ancestor	5db3934c58553e491b19fe8da106948fe8cd1d16 is ancestor	ancestor	PASS	true	Commit resolves exactly.
B-04	Git and identity	The readiness implementation commit is on main history	experiments/fuzzer_v0/family_a/readiness_amendment/amendment.yaml	Git history	git merge-base --is-ancestor	e6128fdf5028c91673392d42f9736cbd5ac5b562 is ancestor	ancestor	PASS	true	Commit resolves exactly.
