script	category	active_or_legacy	supported_family	purpose	inputs	outputs	dependencies	canonical_entrypoint	replacement	status
scripts/README.md	documentation	active	A+B	active script catalog	repository layout	human-readable inventory	none	yes	-	supported
scripts/analysis/m1_compare.py	analysis	active	B	retained compact Family B analysis	ULog or structured result	compact metrics/oracle result	Python numpy pyulog as applicable	no	-	supported
scripts/analysis/m1_metrics.py	analysis	active	B	retained compact Family B analysis	ULog or structured result	compact metrics/oracle result	Python numpy pyulog as applicable	no	-	supported
scripts/analysis/property_fitness.py	analysis	active	B	retained compact Family B analysis	ULog or structured result	compact metrics/oracle result	Python numpy pyulog as applicable	no	-	supported
scripts/analysis/property_oracle.py	analysis	active	B	retained compact Family B analysis	ULog or structured result	compact metrics/oracle result	Python numpy pyulog as applicable	no	-	supported
scripts/analysis/validity_automation.py	analysis	active	B	retained compact Family B analysis	ULog or structured result	compact metrics/oracle result	Python numpy pyulog as applicable	no	-	supported
scripts/probes/m1_diff_runner.py	probe	active	A+B	reusable Offboard or minimal Family B probe	profile/theta and runtime environment	ignored runtime tree and compact result	PX4 SITL ROS 2 Python	yes	-	supported
scripts/probes/m1_offboard_task.py	probe	active	A+B	reusable Offboard or minimal Family B probe	profile/theta and runtime environment	ignored runtime tree and compact result	PX4 SITL ROS 2 Python	yes	-	supported
scripts/setup/build_microxrce_agent.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/build_px4_mcnn_sih.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/build_px4_raptor_sih.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/clone_px4.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/install_m1_sih_x500.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/install_m2b_state_shim.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/install_mcnn_sih_board.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/install_raptor_sih_board.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/setup/setup_ros2_ws.sh	setup	active	A+B	environment/build/overlay setup	CLI or environment parameters	ignored source/build/log tree	bash and PX4/ROS toolchain	yes	-	supported
scripts/tracing/install_dds_groundtruth.sh	tracing	active	A+B	signal installation or trace attribution	PX4 tree or ULog	overlay or structured audit	bash/Python and optional pyulog	no	-	supported
scripts/tracing/m0_ulog_sanity.py	tracing	active	A+B	signal installation or trace attribution	PX4 tree or ULog	overlay or structured audit	bash/Python and optional pyulog	no	-	supported
scripts/tracing/px4_actuator_attribution_audit.py	tracing	active	A+B	signal installation or trace attribution	PX4 tree or ULog	overlay or structured audit	bash/Python and optional pyulog	no	-	supported
scripts/validation/check_markdown_links.py	validation	active	A+B	repository hygiene validation	repository snapshot	pass/fail diagnostics	bash Python git jq PyYAML pytest	no	-	supported
scripts/validation/validate_repo.sh	validation	active	A+B	repository hygiene validation	repository snapshot	pass/fail diagnostics	bash Python git jq PyYAML pytest	yes	-	supported
archive/pre_v4_baton/scripts/archive_campaign_provenance.py	campaign_runner	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
archive/pre_v4_baton/scripts/build_px4_raptor.sh	setup	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	scripts/setup/build_px4_raptor_sih.sh	archived
archive/pre_v4_baton/scripts/build_px4_raptor_unclipped_sih.sh	setup	legacy	B	pre-V4 BATON campaign/reproduction support	legacy CLI/config/runtime inputs	legacy runtime/report artifacts	see archived source and reports	no	archive only; re-evaluate under V4 route harness	archived
