evidence_id	campaign_id	report_path	gate_path	ledger_path	summary_path	final_commit	SUT_revision	mechanism	scenario	oracle	formal_attempts	accepted	rejected	rejection_classes	PASS_count	EXPOSURE_count	VIOLATION_count	UNKNOWN_count	NOT_APPLICABLE_count	disposition	evidence_complete	clock_status	runtime_or_static	current_or_historical	natural_or_seeded	claim_supported	claim_not_supported	narrative_role	integrity_status	notes
P0_NORMAL	P0_PHASE_A2	docs/motivation/P0_PHASE_A2_BASELINE_REPORT.md	experiments/motivation/phase_a2_measurement_gate.json	NA	data/processed/p0_phase_a2	e7718e2de6b7ada4472fcbc1fc428cb84da39e92	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Offboard_Dynamic_External_Mode_Mode_Executor	normal_entry_release_successor	Route_Oracle_0.2	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	bounded_normal_baseline	PENDING_RECHECK	Phase_A1_superseded_by_A2
P0_REENTRY	P0_PHASE_A2_REENTRY	docs/motivation/P0D2_FULL_REENTRY_REPORT.md	experiments/motivation/phase_a2_reentry_gate.json	NA	data/processed/p0d2	e7718e2de6b7ada4472fcbc1fc428cb84da39e92	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Dynamic_External_Mode	full_reentry	Route_Oracle_0.2	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	bounded_reentry_baseline	PENDING_RECHECK	clean_reentry_only
P2_PROCESS_LOSS	P2	docs/motivation/P2_PROCESS_LOSS_REPORT.md	NA	experiments/probes/p2/experiment_matrix.tsv	data/processed/p2	e7718e2de6b7ada4472fcbc1fc428cb84da39e92	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Offboard_and_Dynamic_External_Mode	SIGTERM_SIGKILL_SIGSTOP	Route_Oracle_0.2	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	process_loss_baseline	PENDING_RECHECK	formal_report_is_highest_available_authority
P3_CHANNEL_DECOUPLING	P3	docs/motivation/P3_HEARTBEAT_SETPOINT_DECOUPLING_REPORT.md	NA	experiments/probes/p3/experiment_matrix.tsv	data/processed/p3	e7718e2de6b7ada4472fcbc1fc428cb84da39e92	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Offboard_and_Dynamic_External_Mode	health_setpoint_channel_matrix	Route_Oracle_0.2	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	channel_decoupling_baseline	PENDING_RECHECK	formal_report_is_highest_available_authority
P5_TRANSITION	P5_V6	docs/repository/P5_V6_DIFFERENTIAL_REPORT.md	experiments/probes/p5/p5_v6_differential_gate.json	data/processed/p5/paired_results.tsv	data/processed/p5/summary.json	75a5217e0e0bfab232d03c30dcc22088aa16624d	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Offboard_vs_Dynamic_External_Mode	matched_transition_sides	Route_Oracle_0.4	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	matched_mechanism_baseline	PENDING_RECHECK	transition_subset_of_70_sides
P5_RETAINED	P5_V6	docs/repository/P5_V6_DIFFERENTIAL_REPORT.md	experiments/probes/p5/p5_v6_differential_gate.json	data/processed/p5/paired_results.tsv	data/processed/p5/summary.json	75a5217e0e0bfab232d03c30dcc22088aa16624d	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Offboard_vs_Dynamic_External_Mode	health_on_setpoint_off_retained_route	Route_Oracle_0.4	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	retained_route_baseline	PENDING_RECHECK	NOT_APPLICABLE_clauses_must_not_count_as_PASS
ISSUE162_BASELINE	ISSUE162	docs/motivation/EXTERNAL_RTL_SUCCESSOR_CASE_REPORT.md	NA	experiments/motivation/successor/baseline_attempt_ledger.yaml	data/processed/motivation/successor/baseline	c62452cf020f2851040fc9fa8a9611575d892e3d	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	nonreplacement_Mode_Executor	legal_completion_to_Land	Route_Oracle_0.4_and_Successor_Oracle_0.1	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	historical_benchmark_control	PENDING_RECHECK	baseline_not_affected_case
ISSUE162_CURRENT	ISSUE162	docs/motivation/EXTERNAL_RTL_SUCCESSOR_CASE_REPORT.md	NA	experiments/motivation/successor/current_replay_attempt_ledger.yaml	data/processed/motivation/successor/current	c62452cf020f2851040fc9fa8a9611575d892e3d	c3e410f035806e8c56246708432ded09c976434b	External_RTL_replacement_constructor	current_prevention	Successor_Oracle_NOT_APPLICABLE	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	static	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	current_prevention_differential	PENDING_RECHECK	constructor_rejection_not_runtime_PASS
ISSUE162_HISTORICAL	ISSUE162	docs/motivation/EXTERNAL_RTL_SUCCESSOR_CASE_REPORT.md	NA	experiments/motivation/successor/historical_replay_attempt_ledger.yaml	data/processed/motivation/successor/historical	c62452cf020f2851040fc9fa8a9611575d892e3d	a5b9f3cb7cb65d2be80183bad31e9a7ce9f02684	External_RTL_replacement	completion_without_owner_successor	Successor_Oracle_0.1	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	historical	natural_public_trigger	PENDING_ADJUDICATION	PENDING_ADJUDICATION	historical_benchmark	STRUCTURAL_RECHECK_REQUIRED	checkpoint_ledger_is_not_final
ISSUE162_REDUCED	ISSUE162	docs/motivation/EXTERNAL_RTL_SUCCESSOR_CASE_REPORT.md	NA	NA	data/processed/motivation/successor/historical/successor_historical_reduced_seed16218_r1	c62452cf020f2851040fc9fa8a9611575d892e3d	a5b9f3cb7cb65d2be80183bad31e9a7ce9f02684	External_RTL_replacement	reduced_observation_confirmation	Successor_Oracle_0.1	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	0	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	historical	natural_public_trigger	PENDING_ADJUDICATION	PENDING_ADJUDICATION	instrumentation_differential	PENDING_RECHECK	not_a_new_independent_defect
FRESHNESS_F1	FRESHNESS_F1_F4	docs/motivation/SETPOINT_FRESHNESS_PILOT_REPORT.md	experiments/motivation/freshness/freshness_pilot_gate.json	experiments/motivation/freshness/attempt_ledger.yaml	experiments/motivation/freshness/freshness_pilot_gate.json	955e7c98e3b29ddd21fa4d44fb562065700fa832	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Dynamic_External_Mode	Trajectory_process_stop	Route_Oracle_0.4_and_Freshness_Oracle_0.1	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	natural	PENDING_ADJUDICATION	PENDING_ADJUDICATION	current_finding	PENDING_RECHECK	one_natural_route_event
FRESHNESS_F2	FRESHNESS_F1_F4	docs/motivation/SETPOINT_FRESHNESS_PILOT_REPORT.md	experiments/motivation/freshness/freshness_pilot_gate.json	experiments/motivation/freshness/attempt_ledger.yaml	experiments/motivation/freshness/freshness_pilot_gate.json	955e7c98e3b29ddd21fa4d44fb562065700fa832	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Dynamic_External_Mode	Attitude_process_stop	Route_Oracle_0.4_and_Freshness_Oracle_0.1	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	freshness_exposure_limit	PENDING_RECHECK	measurement_insufficient_cell
FRESHNESS_F3	FRESHNESS_F1_F4	docs/motivation/SETPOINT_FRESHNESS_PILOT_REPORT.md	experiments/motivation/freshness/freshness_pilot_gate.json	experiments/motivation/freshness/attempt_ledger.yaml	experiments/motivation/freshness/freshness_pilot_gate.json	955e7c98e3b29ddd21fa4d44fb562065700fa832	4ae21a5e569d3d89c2f6366688cbacb3e93437c9	Dynamic_External_Mode	Rate_process_stop	Route_Oracle_0.4_and_Freshness_Oracle_0.1	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_RECHECK	PENDING_ADJUDICATION	PENDING_RECHECK	PENDING_RECHECK	runtime	current	seeded	PENDING_ADJUDICATION	PENDING_ADJUDICATION	freshness_exposure	PENDING_RECHECK	bounded_current_context
