runtime_fact	status	clock_domain	evidence_source	missing_instrumentation	proposed_observation_method	semantic_ambiguity
registration request	DERIVABLE_WITH_LIMITATION	PX4_uORB_or_DDS	pending_B1_B	locked_source_audit	request_topic_plus_registration_observation	request_does_not_prove_acceptance
registration acknowledgement	DERIVABLE_WITH_LIMITATION	PX4_uORB_or_DDS	pending_B1_B	locked_source_audit	reply_topic_plus_registration_observation	ack_does_not_prove_activation
registration instance identity	DERIVABLE_WITH_LIMITATION	PX4_boot_and_process_lifetime	pending_B1_B	locked_source_audit	registration_id_plus_process_session	ID_scope_and_reuse_require_audit
activation request	DERIVABLE_WITH_LIMITATION	ROS_node_ns_or_PX4_uORB_us	pending_B1_B	locked_source_audit	public_request_marker_and_PX4_event	cross_clock_mapping_may_be_required
activation identity	DERIVABLE_WITH_LIMITATION	PX4_boot	pending_B1_B	locked_source_audit	route_activation_id_or_equivalent	mode_identity_is_not_route_identity
route epoch	DERIVABLE_WITH_LIMITATION	PX4_boot_us	pending_B1_B	controller_level_epoch_hook	controller_level_epoch_hook_or_existing_route_epoch	existing_epoch_may_only_cover_navigation_route
lifecycle owner	DERIVABLE_WITH_LIMITATION	PX4_boot_and_process_lifetime	pending_B1_B	locked_source_audit	registration_owner_and_module_instance	ownership_may_differ_from_writer
active controller identity	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	controller_status_plus_consumption_lineage	module_active_does_not_prove_authority
source classic module state	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	VehicleControlMode_plus_module_output_observation	scheduled_module_may_publish_non_authoritative_output
target custom module state	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	status_plus_input_consumption_and_output	started_module_does_not_prove_installation
VehicleControlMode	DIRECTLY_OBSERVABLE	PX4_uORB_us	VehicleControlMode		ULog_or_uORB_subscription	flags_require_mechanism_specific_interpretation
source input setpoint	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	topic_instance_writer_and_subject_timestamp	same_topic_may_have_multiple_routes
target input setpoint/state	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	topic_instance_writer_and_consumption hook	publication_does_not_prove_consumption
command subject timestamp	DIRECTLY_OBSERVABLE	message_subject_domain	message_timestamp_fields		topic_capture_plus_clock_contract	semantics_vary_by_message
controller consumption timestamp	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	controller_consumption_hook	observation_only_controller_consumption_event	observation_cadence_must_not_change_control_cadence
allocator input	DERIVABLE_WITH_COMPLETE_LINEAGE	PX4_uORB_us	VehicleTorqueSetpoint;VehicleThrustSetpoint	writer_attribution_required	writer_instance_subject_and_route_epoch	topic_presence_alone_cannot_identify_controller
allocator instance/state	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	control_allocator_status_and_outputs	locked_source_audit	allocator_status_plus_input_output sequence	shared_allocator_spans_route_epochs
actuator writer identity	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	actuator_writer_collector	controller_level_route_attribution	writer_id_plus_input_lineage	control_allocator_name_is_shared_across_routes
actuator output	DIRECTLY_OBSERVABLE	PX4_uORB_us	ActuatorMotors;ActuatorServos		complete_writer_sequence	output_value_does_not_identify_upstream_route
release event	DERIVABLE_WITH_LIMITATION	ROS_node_ns_or_PX4_uORB_us	pending_B1_B	locked_source_audit	public_release_marker_plus_PX4_event	request_does_not_prove_revocation
target deactivation	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	status_plus_last_consumption_and_output	module_stop_may_lag_route_revocation
classic restoration	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	pending_B1_B	locked_source_audit	complete_module_input_allocator_writer lineage	mode_name_does_not_prove_graph_restoration
post-revocation source influence	DERIVABLE_WITH_LIMITATION	PX4_uORB_us	Route_Oracle_revocation_clause	controller_level_route_epoch	post_revocation_requires_epoch_attribution	shared_writer_name_cannot_establish_residue
re-entry/session rollover	DERIVABLE_WITH_LIMITATION	PX4_boot_and_process_lifetime	pending_B1_B	locked_source_audit	route_activation_registration_and_process_session IDs	IDs_must_not_cross_boot_or_session
