repository	commit	example_name	source_path	build_target	scenario	source_route	target_route	setpoint_level	lifecycle_features	build_status	run_status	notes
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	executor_with_multiple_modes	examples/cpp/modes/executor_with_multiple_modes	example_executor_with_multiple_modes	Takeoff then three custom modes then RTL and disarm	internal Takeoff	three registered external routes then internal RTL	trajectory; body rate; trajectory	registration; activation; completion; executor scheduling; RTL; wait disarmed	PASS	NOT_RUN	Source declares three ModeBase classes and one ModeExecutorBase state machine.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	fixed-wing attitude mode	examples/cpp/modes/fw_attitude	example_mode_fw_attitude	registered fixed-wing attitude control	internal fixed-wing route	dynamic external mode	attitude	registration; activation; setpoint update	PASS	NOT_RUN	Uses AttitudeSetpointType in source.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	multicopter go-to mode	examples/cpp/modes/goto	example_mode_goto	triangle go-to and complete	internal multicopter route	dynamic external go-to mode	position / goto	registration; activation; completion	PASS	NOT_RUN	Uses MulticopterGotoSetpointType and local odometry.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	global go-to mode	examples/cpp/modes/goto_global	example_mode_goto_global	global-position go-to	internal multicopter route	dynamic external global go-to mode	global position	registration; activation; completion	PASS	NOT_RUN	Source uses global navigation/position interfaces.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	manual external mode	examples/cpp/modes/manual	example_mode_manual	manual-control-driven registered mode	internal manual route	dynamic external manual mode	trajectory	registration; manual input; activation	PASS	NOT_RUN	Consumes ManualControlInput and publishes external setpoints.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	mission mode	examples/cpp/modes/mission	example_mode_mission	external mission actions and trajectory	internal mission route	dynamic external mission/executor route	trajectory and mission actions	registration; mission execution; completion/cancel	PASS	NOT_RUN	C++ mission example includes action handlers and mission JSON.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	mode with executor	examples/cpp/modes/mode_with_executor	example_mode_with_executor	Takeoff then custom external mode then RTL then disarm	internal Takeoff	dynamic external trajectory then internal RTL	velocity trajectory	registration; activation; completion; executor scheduling; RTL; wait disarmed	PASS	NOT_RUN	Canonical source for the P0-C sequence.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	rover velocity mode	examples/cpp/modes/rover_velocity	rover_velocity_mode	registered rover speed/steering control	internal rover route	dynamic external rover mode	speed and steering	registration; activation; update	PASS	NOT_RUN	Rover-specific and not a P0 multicopter target.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	RTL replacement	examples/cpp/modes/rtl_replacement	example_mode_rtl	replace internal RTL and complete	internal RTL	dynamic external RTL replacement	velocity trajectory	registration; internal-mode replacement; activation; completion	PASS	NOT_RUN	Settings replace ModeBase::kModeIDRtl.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	VTOL mode	examples/cpp/modes/vtol	example_mode_vtol	registered VTOL transition/control	existing VTOL route	dynamic external VTOL mode	VTOL-specific setpoints	registration; activation; VTOL transition	PASS	NOT_RUN	Outside P0 multicopter scope.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	global navigation interface	examples/cpp/navigation/global_navigation	example_global_navigation	provide auxiliary global navigation measurement	external measurement producer	PX4 estimator input	global position measurement	message compatibility; measurement update	PASS	NOT_RUN	Navigation interface example; not an authority handoff by itself.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	local navigation interface	examples/cpp/navigation/local_navigation	example_local_navigation	provide auxiliary local navigation measurement	external measurement producer	PX4 estimator input	local position measurement	message compatibility; measurement update	PASS	NOT_RUN	Navigation interface example; not an authority handoff by itself.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	Python go-to mode	examples/python/modes/goto	example_mode_goto_py	Python binding registered go-to mode	internal multicopter route	dynamic external go-to mode	position / goto	registration; activation; completion	PASS	NOT_RUN	Uses px4_ros2_py bindings; Python API is documented incomplete.
Auterion/px4-ros2-interface-lib	c3e410f035806e8c56246708432ded09c976434b	Python rclpy mode	examples/python/modes/goto_with_rclpy	example_mode_with_rclpy_py	rclpy external-mode interaction	internal multicopter route	dynamic external mode	position / goto	registration-related ROS messaging	PASS	NOT_RUN	Direct rclpy example package; inspect before use because API coverage differs from C++.
