clause_id	category	required_condition	evidence_path	observed_value	expected_value	status	blocking	notes
A-01	Authority	M-FINAL permits an independent Family A preregistration	experiments/motivation/m_final/motivation_completion_gate.json	authorizes_fuzzer_v0_preregistration=true	true	PASS	true	M-FINAL did not itself authorize runtime.
A-02	Authority	The current instruction permits a separate qualification activation review	experiments/fuzzer_v0/family_a/activation_review/qualification_activation_decision.json	activation_review_complete=true	true	PASS	true	Review and decision assets only.
A-03	Authority	The current review has no flight-runtime execution authority	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	runtime_executed_during_review=false	false	PASS	true	No runtime was launched.
B-01	Repository identity	Starting HEAD equals fetched origin/main	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	426f4c7316e973c6a4dab84a202fdb75ea65b7c1	426f4c7316e973c6a4dab84a202fdb75ea65b7c1	PASS	true	ahead=0 and behind=0.
B-02	Repository identity	The preregistration commit is present on origin/main	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	reviewed_preregistration_commit=426f4c7316e973c6a4dab84a202fdb75ea65b7c1	ancestor of origin/main	PASS	true	The starting commit introduced the frozen bundle.
B-03	Repository identity	All accepted-evidence source commits resolve	experiments/fuzzer_v0/family_a/source_lock.yaml	6 of 6 accepted-evidence commits resolve	6 of 6	PASS	true	Each commit is an ancestor of starting HEAD.
B-04	Repository identity	M-FINAL and evidence-cutoff commits are in current history	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	required_ancestor_commits resolve	all required commits	PASS	true	Includes M-FINAL preregistration and final commits.
B-05	Repository identity	The frozen bundle hashes match their reviewed identity	experiments/fuzzer_v0/family_a/activation_review/review_source_lock.yaml	15 of 15 current frozen assets match	15 of 15	PASS	true	The original activation Gate remains unchanged.
C-01	Scope	Runtime scope is Family A only	experiments/fuzzer_v0/family_a/preregistration.yaml	authorized_family=FAMILY_A_ONLY	FAMILY_A_ONLY	PASS	true	No cross-family runtime is admitted.
C-02	Scope	R1 session rollover is outside runtime scope	experiments/fuzzer_v0/family_a/preregistration.yaml	producer_session_rollover and delayed old-session messages excluded	excluded	PASS	true	P0 clean re-entry is not relabeled as R1.
C-03	Scope	W1 real workload is outside runtime scope	experiments/fuzzer_v0/family_a/preregistration.yaml	W1_real_workload and Aerostack2 excluded	excluded	PASS	true	No real-workload adapter is authorized.
C-04	Scope	B1 and Family B are outside runtime scope	experiments/fuzzer_v0/family_a/preregistration.yaml	Family_B mc_nn RAPTOR and registered controller reference excluded	excluded	PASS	true	Family B remains future work.
C-05	Scope	Direct actuator work is outside scope	experiments/fuzzer_v0/family_a/preregistration.yaml	direct_actuator and control_allocation_replacement excluded	excluded	PASS	true	No actuator-command mutation is admitted.
C-06	Scope	Historical Issue 162 is replay-only	experiments/fuzzer_v0/family_a/seed_catalog.tsv	ISSUE162_HISTORICAL_REPLAY=REPLAY_ONLY	REPLAY_ONLY	PASS	true	Current runtime and constructor bypass are prohibited.
C-07	Scope	HITL and real flight are outside scope	experiments/fuzzer_v0/family_a/preregistration.yaml	HITL and real_flight excluded	excluded	PASS	true	Controlled SITL is the only future study form.
D-01	Seeds	The catalog contains 61 records	experiments/fuzzer_v0/family_a/seed_catalog.tsv	61	61	PASS	true	Header is not counted.
D-02	Seeds	The runtime pool contains 50 accepted current seeds	experiments/fuzzer_v0/family_a/seed_catalog.tsv	50	50	PASS	true	All use the locked current PX4 revision.
D-03	Seeds	The catalog contains one historical replay benchmark	experiments/fuzzer_v0/family_a/seed_catalog.tsv	1	1	PASS	true	Issue 162 only.
D-04	Seeds	The catalog preserves 10 excluded records	experiments/fuzzer_v0/family_a/seed_catalog.tsv	10	10	PASS	true	Excluded provenance remains visible.
D-05	Seeds	The catalog contains no unresolved records	experiments/fuzzer_v0/family_a/seed_catalog.tsv	0	0	PASS	true	All 61 rows have a resolved inclusion status.
D-06	Seeds	No validation-only record enters the runtime pool	experiments/fuzzer_v0/family_a/seed_catalog.tsv	0	0	PASS	true	All ORACLE_VALIDATION rows are excluded.
E-01	Runtime contract readiness	A distinct V0-P qualification phase is frozen	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	phase_id=V0-P	present	PASS	true	Execution remains outside the preregistration task.
E-02	Runtime contract readiness	Qualification targets three accepted attempts	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	3	3	PASS	true	The target is not changed by this review.
E-03	Runtime contract readiness	Qualification closes by six formal attempts	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	6	6	PASS	true	Rejected formal attempts remain recorded.
E-04	Runtime contract readiness	Qualification is outside the 36-attempt comparison budget	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	included_in_comparison_budget=false	false	PASS	true	No budget transfer is allowed.
E-05	Runtime contract readiness	Qualification produces no strategy-superiority adjudication	experiments/fuzzer_v0/family_a/analysis_plan.yaml	qualification has no comparison metric adjudication	no strategy claim	PASS	true	State-aware gain remains not established.
E-06	Runtime contract readiness	All comparison arms remain locked	experiments/fuzzer_v0/family_a/activation_review/qualification_activation_decision.json	all comparison authorization fields=false	false	PASS	true	Official Random and State-Aware arms are not authorized.
E-07	Runtime contract readiness	Qualification failure has a frozen closure rule	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	stop at target 3 or maximum 6; safety and repeated environment failures require review	frozen bounded close	PASS	true	No cap increase or automatic replacement is allowed.
